ID,Company.Name,Subsidiary.Name,Search,Share,Company.Type,Source,Notes,Country.of.Headquarters,Rystad.Upstream.Industry.Segment,Type.of.Subsidiary,Hydrocarbons.Production.in.2022..Oil..Gas..Condensate..NGL.,Production.Countries,Fracking,Tar.Sands,Coalbed.Methane,Extra.Heavy.Oil,Ultra.Deepwater,Arctic,Unconventional.Production,Resources.under.Development.and.Field.Evaluation.as.of.September.2023,Expansion.Countries,Unconventional.Expansion,X1.5�.C.Expansion.Overshoot.based.on.IEA.NZE..2021.2022.,Exploration.CAPEX.3.year.average..2021.2023.,Exploration.Countries,Fossil.Fuel.Share.of.Revenue,Data.Description,Reporting.Year,Project.Names,Project.Risks,Project.Descriptions,Remarks,GOGEL.ID,Upstream.Row.ID,RIC
22,State-owned Assets Supervision and Administration Commission of the State Council,CNOOC Ltd,CNOOC,1,Parent,,,China (Hong Kong),INOC,,"733,67","Argentina, Australia, Bolivia, Brazil, Canada, China, Colombia, Guyana, Indonesia, Iraq, Mexico, Nigeria, Trinidad and Tobago, UAE, United Kingdom, USA","2,59%","3,75%","3,55%","8,25%","12,42%",0%,"30,56%","4904,08","Argentina, Australia, Brazil, Canada, China, Guyana, Indonesia, Mexico, Russia, UAE, Uganda, United Kingdom, USA","54,11%","65,92%","3216,45","Argentina, Australia, Bolivia, Brazil, Canada, China, Colombia, Republic of the Congo, Gabon, Guyana, Indonesia, Ireland, Mexico, Mozambique, Nigeria, Papua New Guinea, Russia, Senegal, Trinidad and Tobago, Uganda, United Kingdom, USA, Vietnam","97,91%",exact number,FY22,"Scarborough Gas, Vaca Muerta, Guyana Offshore, EACOP, Yamal LNG and Arctic LNG 2, Alberta Tar Sands, Xinjiang","Litigation, Social Harm, Conflict/Violence, Environmental Destruction",https://gogel.org/lookup/100020,,100020,126,600938.SS
23,State-owned Assets Supervision and Administration Commission of the State Council,China Petrochemical Corporation (Sinopec Group),China Petrochemical Corporation(Sinopec),1,Parent,,,China,INOC,,"635,78","Algeria, Angola, Australia, Azerbaijan, Brazil, Cameroon, Canada, Colombia, Ecuador, Egypt, Gabon, Iraq, Kazakhstan, Mongolia, Nigeria, South Sudan, Syria, Trinidad and Tobago, United Kingdom, USA, Yemen","10,86%","1,6%","4,6%","9,6%","4,02%",0%,"30,68%","2275,48","Angola, Brazil, Cameroon, Canada, China, Egypt, Gabon, Kazakhstan, Nigeria, Qatar, Russia, USA",83%,"82,19%","2416,34","Angola, Argentina, Australia, Brazil, Cameroon, Canada, China, Colombia, Ecuador, Egypt, Gabon, Indonesia, Iraq, Kazakhstan, Mexico, Mongolia, Nigeria, Nigeria/Sao Tome and Principe, Russia, South Sudan, Syria, Trinidad and Tobago, United Kingdom, USA, Venezuela, Yemen","70,27%",estimated lower bound,FY22,"Alberta Tar Sands, Amazon Oil and Gas Drilling, Xinjiang","Environmental Destruction, Social Harm, Conflict/Violence",https://gogel.org/lookup/100050,,100050,112,600028.SS
24,Government of Malaysia,Petroliam Nasional Bhd (Petronas),Petroliam Nasional Bhd(Petronas),1,Parent,,"Ownership data not available, wikipedia",Malaysia,INOC,,"592,27","Argentina, Australia, Azerbaijan, Brazil, Canada, Chad, Egypt, Indonesia, Iraq, Malaysia, Malaysia/Thailand, Myanmar, Oman, South Sudan, Turkmenistan, United Kingdom, Vietnam","8,77%",0%,"1,56%","0,29%","0,8%",0%,"11,41%","1922,34","Argentina, Brazil, Brunei, Canada, Indonesia, Iraq, Malaysia, Malaysia/Thailand","33,06%","52,52%","595,63","Angola, Argentina, Australia, Azerbaijan, Brazil, Brunei, Canada, Republic of the Congo, Egypt, Gabon, Gambia, Indonesia, Ireland, Italy, Malaysia, Malaysia/Thailand, Mexico, Myanmar, Oman, South Sudan, Suriname, Turkmenistan, UAE, USA, Venezuela, Vietnam","94,27%",exact lower bound,FY22,Vaca Muerta,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100021,,100021,465,IPO-PETO.KL
25,PAO NOVATEK,PAO NOVATEK,NOVATEK,1,Parent,,,Russia,Industrial,,"566,06",Russia,0%,0%,0%,0%,0%,"86,5%","86,5%","4112,23",Russia,100%,0%,"172,93","Lebanon, Montenegro, Russia","99,93%",exact lower bound,FY22,Yamal LNG and Arctic LNG 2,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100023,,100023,439,NVTK.MM
26,Occidental Petroleum Corporation,Occidental Petroleum Corporation,Occidental(Oxy),1,Parent,,,USA,Independent,,"526,61","Algeria, Bolivia, Oman, Qatar, UAE, USA","53,62%",0%,"0,08%",3%,"6,6%",0%,"63,3%","2011,11","UAE, USA","96,28%","79,7%","403,02","Algeria, Bolivia, Canada, Colombia, Libya, Oman, Peru, Qatar, UAE, USA, Yemen","89,65%",estimated lower bound,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100022,,100022,414,OXY.N
27,PJSC Surgutneftegas,PJSC Surgutneftegas,Surgutneftegas,1,Parent,,,Russia,Integrated,,"478,93",Russia,"0,36%",0%,0%,0%,0%,0%,"0,36%","75,95",Russia,"0,35%",100%,"360,94",Russia,100%,exact number,FY22,,,,,100027,487,SNGS.MM
28,State-owned Assets Supervision and Administration Commission of the State Council,China Petroleum & Chemical Corporation (Sinopec Corp),Don’t search this one,1,Parent,,,China,NOC,Subsidiary,"478,71","Angola, China, Colombia, Ecuador, Gabon, Indonesia, Kazakhstan, Mexico, Russia","11,85%",0%,"0,47%","12,22%",0%,0%,"24,55%","1664,25","Angola, China, Gabon, Russia","89,52%","93,3%","2346,99","Angola, Brazil, China, Ecuador, Gabon, Indonesia, Kazakhstan, Mexico, Russia","94,54%",estimated lower bound,FY22,"Amazon Oil and Gas Drilling, Xinjiang","Environmental Destruction, Social Harm, Conflict/Violence",https://gogel.org/lookup/100024,,100024,113,600028.SS
29,Canadian Natural Resources Ltd (CNRL),Canadian Natural Resources Ltd (CNRL),Canadian Natural Resources(CNRL),1,Parent,,,Canada,Independent,,"463,82","Canada, Cote d'Ivoire, United Kingdom","20,6%","52,91%",0%,"9,5%",0%,0%,"83,01%","989,99","Canada, South Africa",100%,"89,87%","73,26","Canada, Cote d'Ivoire, South Africa, United Kingdom","98,77%",estimated lower bound,FY22,"Alberta Tar Sands, South Africa Offshore","Environmental Destruction, Social Harm, Litigation",https://gogel.org/lookup/100028,,100028,84,CNQ.TO
30,Turkmengaz State Concern,Turkmengaz State Concern,Turkmengaz,1,Parent,,Ownership data not available,Turkmenistan,NOC,,"436,28",Turkmenistan,0%,0%,0%,0%,0%,0%,0%,0,,0%,not applicable,0,,90%,estimated lower bound interval,,,,,,100033,647,4295962727
31,EOG Resources Inc,EOG Resources Inc,EOG Resources,1,Parent,,,USA,Independent,,"410,56","Trinidad and Tobago, USA","95,9%",0%,"0,18%",0%,0%,0%,"96,08%","1945,66","Trinidad and Tobago, USA","98,16%","79,86%","374,3","Australia, China, Oman, Trinidad and Tobago, USA","99,54%",exact lower bound,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100031,,100031,213,EOG.N
