ID,Company.Name,Subsidiary.Name,Search,Share,Company.Type,Source,Notes,Country.of.Headquarters,Rystad.Upstream.Industry.Segment,Type.of.Subsidiary,Hydrocarbons.Production.in.2022..Oil..Gas..Condensate..NGL.,Production.Countries,Fracking,Tar.Sands,Coalbed.Methane,Extra.Heavy.Oil,Ultra.Deepwater,Arctic,Unconventional.Production,Resources.under.Development.and.Field.Evaluation.as.of.September.2023,Expansion.Countries,Unconventional.Expansion,X1.5�.C.Expansion.Overshoot.based.on.IEA.NZE..2021.2022.,Exploration.CAPEX.3.year.average..2021.2023.,Exploration.Countries,Fossil.Fuel.Share.of.Revenue,Data.Description,Reporting.Year,Project.Names,Project.Risks,Project.Descriptions,Remarks,GOGEL.ID,Upstream.Row.ID,RIC
233,BTA Oil Producers LLC,BTA Oil Producers LLC,BTA Oil Producers,1,Parent,,Ownership data not available,USA,Independent,,"19,82",USA,100%,0%,0%,0%,0%,0%,100%,"69,42",USA,100%,"74,2%","23,87",USA,90%,estimated lower bound interval,,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100238,,100238,72,4295958024
234,State Concern Turkmennebit,State Concern Turkmennebit,Turkmennebit,1,Parent,,Not found,Turkmenistan,NOC,,"19,34",Turkmenistan,0%,0%,0%,0%,0%,0%,0%,"48,2",Turkmenistan,not applicable,0%,0,,90%,estimated lower bound interval,,,,,,100211,593,5001130975
235,EnQuest PLC,EnQuest PLC,EnQuest,1,Parent,,,United Kingdom,Independent,,"19,28","Malaysia, United Kingdom",0%,0%,0%,"33,76%",0%,0%,"33,76%",0,,0%,not applicable,"16,42","Malaysia, United Kingdom","99,73%",estimated lower bound,FY22,,,,,100225,208,ENQ.L
236,Parex Resources Inc,Parex Resources Inc,Parex,1,Parent,,,Canada,E&P Company,,"19,24",Colombia,0%,0%,0%,"30,05%",0%,0%,"30,05%","7,74",Colombia,not applicable,"70,69%","93,38",Colombia,100%,exact number,FY22,,,,,100251,441,PXT.TO
237,Midland Oil Company,Midland Oil Company,Midland Oil Company,1,Parent,,Ownership data not available,Iraq,NOC,,"18,86",Iraq,0%,0%,0%,0%,0%,0%,0%,"435,77",Iraq,not applicable,100%,0,,NA,data unavailable,,,,,,100887,370,5009378456
238,Vista Energy SAB de CV,Vista Energy SAB de CV,Vista Energy,1,Parent,,,Mexico,E&P Company,,"18,85","Argentina, Mexico","71,92%",0%,0%,0%,0%,0%,"71,92%","233,36",Argentina,100%,"91,83%","66,9","Argentina, Mexico",100%,exact number,FY22,Vaca Muerta,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100330,,100330,675,VISTAA.MX
239,Fasken Oil and Ranch Ltd,Fasken Oil and Ranch Ltd,Fasken,1,Parent,,Ownership data not available,USA,E&P Company,,"18,77",USA,"90,18%",0%,0%,0%,0%,0%,"90,18%","83,75",USA,100%,"67,01%","33,94",USA,NA,data unavailable,,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100265,,100265,225,4298015866
240,W&T Offshore Inc,W&T Offshore Inc,W&T Offshore,1,Parent,,,USA,Industrial,,"18,76",USA,0%,0%,0%,0%,"7,59%",0%,"7,59%",0,,0%,not applicable,"24,75",USA,"98,27%",exact lower bound,FY22,,,,,100235,678,WTI.N
241,Colgate Energy Partners III LLC,Colgate Energy Partners III LLC,Colgate,1,Parent,,Ownership data not available,USA,E&P Company,,"18,72",USA,100%,0%,0%,0%,0%,0%,100%,0,,0%,not applicable,"22,29",USA,90%,estimated lower bound interval,,,,,The company merged with Centennial Resource Development Inc to form Permian Resources Corporation (also on GOGEL) in September 2022.,100340,129,5060577739
242,Mesquite Energy Inc,Mesquite Energy Inc,Mesquite,1,Parent,,Ownership data not available,USA,Independent,,"18,66",USA,100%,0%,0%,0%,0%,0%,100%,"10,36",USA,100%,"35,88%","0,04",USA,90%,estimated lower bound interval,,,,,,100226,368,SNECQ.PK^G20
243,The Williams Companies Inc,The Williams Companies Inc,The Williams,1,Parent,,Ownership data not available,USA,Industrial,,"18,64",USA,100%,0%,0%,0%,0%,0%,100%,"79,84",USA,100%,"92,3%","54,91",USA,"61,01%",estimated lower bound,FY22,,,,,200147,624,5001924814
244,China National Petroleum Corporation (CNPC),KunLun Energy Company Ltd,KunLun Energy Company Ltd(Kunlun),1,Parent,,,China (Hong Kong),INOC,Subsidiary,"18,58","China, Kazakhstan, Oman, Peru, Thailand",0%,0%,0%,0%,0%,0%,0%,"23,07",Kazakhstan,not applicable,0%,"0,15","China, Kazakhstan, Oman, Thailand",100%,exact number,FY22,Amazon Oil and Gas Drilling,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100249,,100249,109,0135.HK
245,Sasol Ltd,Sasol Ltd,Sasol,1,Parent,,,South Africa,Industrial,,"18,52",Mozambique,0%,0%,0%,0%,0%,0%,0%,"164,3",Mozambique,not applicable,0%,"11,12","Gabon, Mozambique, South Africa","73,67%",exact lower bound,FY21-22,South Africa Offshore,"Environmental Destruction, Litigation",https://gogel.org/lookup/100223,,100223,546,SOLJ.J
246,Heritage Petroleum Company Ltd,Heritage Petroleum Company Ltd,Heritage Petroleum,1,Parent,,Ownership data not available,Trinidad and Tobago,Independent,,"18,3",Trinidad and Tobago,0%,0%,0%,"31,33%",0%,0%,"31,33%","12,92",Trinidad and Tobago,not applicable,100%,"27,04",Trinidad and Tobago,"96,15%",exact lower bound,,,,,,100707,272,5071526784
247,SK Innovation Co Ltd,SK Innovation Co Ltd,SK Innovation,1,Parent,,,South Korea,E&P Company,,"18,18","China, Cote d'Ivoire, Equatorial Guinea, Libya, Peru, Qatar, Vietnam",0%,0%,0%,0%,0%,0%,0%,"103,37","China, Vietnam",not applicable,"42,74%","26,24","China, Cote d'Ivoire, Libya, Malaysia, Peru, USA, Vietnam","76,71%",exact lower bound,FY22,Amazon Oil and Gas Drilling,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100193,,100193,570,096770.KS
248,Oasis Petroleum Inc,Oasis Petroleum Inc,Oasis Petroleum,1,Parent,,Not found,USA,Independent,,"17,93",USA,100%,0%,0%,0%,0%,0%,100%,0,,0%,not applicable,"2,29",USA,100%,exact number,FY21,,,,The company merged with Whiting Petroleum Corporation to form Chord Energy Corporation (also on GOGEL) in July 2022.,100176,412,5000880448
249,BCE-Mach LLC,BCE-Mach LLC,BCE-Mach,1,Parent,,Ownership data not available,USA,E&P Company,,"17,82",USA,"91,97%",0%,0%,0%,0%,0%,"91,97%","69,05",USA,100%,"83,78%","24,63",USA,90%,estimated lower bound interval,,,,,,100294,43,5060687473
250,Societe Nationale des Petroles du Congo (SNPC),Societe Nationale des Petroles du Congo (SNPC),Societe Nationale des Petroles du Congo(SNPC),1,Parent,,,Republic of the Congo,NOC,,"17,78","Angola, Republic of the Congo",0%,0%,0%,"17,2%",0%,0%,"17,2%","51,86",Republic of the Congo,not applicable,93%,"10,18",Republic of the Congo,90%,estimated lower bound interval,,,,,,100839,578,5000917530
251,Abu Dhabi National Energy Company PJSC (TAQA),Masdar TAQA,Masdar,0.43,Acquisition,https://www.taqa.com/press-releases/taqa-adnoc-and-mubadala-complete-landmark-transaction-for-stake-in-masdar-clean-energy-powerhouse/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Abu Dhabi National Energy Company PJSC (TAQA),GEK Terna TAQA,Terna,0.29,Acquisition,https://masdar.ae/en/news/newsroom/uae-renewables-champion-to-acquire-greeces-terna-energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Abu Dhabi National Energy Company PJSC (TAQA),Terra-Gen TAQA,Terra-Gen,0.22,Acquisition,https://masdar.ae/en/news/newsroom/masdar-to-acquire-50-percent-stake-in-terra-gen-from-energy-capital-partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Abu Dhabi National Energy Company PJSC (TAQA),Hero Future Energies TAQA,Hero Future Energies(Hero Group),0.09,Acquisition,https://www.livemint.com/companies/news/uae-s-masdar-invests-150-million-in-hero-future-energies-11573459881128.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Abu Dhabi National Energy Company PJSC (TAQA),Lekela Power TAQA,Lekela,0.22,Acquisition,https://masdar.ae/en/news/newsroom/infinity-power-finalizes-acquisition-of-lekela-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Abu Dhabi National Energy Company PJSC (TAQA),Infinity Power TAQA,Infinity Power,0.22,Subsidiary,https://weareinfinitypower.com/en/Founding-Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Abu Dhabi National Energy Company PJSC (TAQA),Jordan Wind Project Company TAQA,Jordan Wind Project Company,0.14,Subsidiary,https://masdar.ae/en/news/newsroom/financial-close-reached-to-build-the-first-utility-scale-wind-farm-in-jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Abu Dhabi National Oil Company (ADNOC),Masdar ADNOC,Masdar,0.24,Acquisition,https://www.taqa.com/press-releases/taqa-adnoc-and-mubadala-complete-landmark-transaction-for-stake-in-masdar-clean-energy-powerhouse/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Abu Dhabi National Oil Company (ADNOC),GEK Terna ADNOC,Terna,0.16,Acquisition,https://masdar.ae/en/news/newsroom/uae-renewables-champion-to-acquire-greeces-terna-energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Abu Dhabi National Oil Company (ADNOC),Terra-Gen ADNOC,Terra-Gen,0.12,Acquisition,https://masdar.ae/en/news/newsroom/masdar-to-acquire-50-percent-stake-in-terra-gen-from-energy-capital-partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Abu Dhabi National Oil Company (ADNOC),Hero Future Energies ADNOC,Hero Future Energies(Hero Group),0.05,Acquisition,https://www.livemint.com/companies/news/uae-s-masdar-invests-150-million-in-hero-future-energies-11573459881128.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Abu Dhabi National Oil Company (ADNOC),Lekela Power ADNOC,Lekela,0.12,Acquisition,https://masdar.ae/en/news/newsroom/infinity-power-finalizes-acquisition-of-lekela-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Abu Dhabi National Oil Company (ADNOC),Infinity Power ADNOC,Infinity Power,0.12,Subsidiary,https://weareinfinitypower.com/en/Founding-Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Abu Dhabi National Oil Company (ADNOC),Jordan Wind Project Company ADNOC,Jordan Wind Project Company,0.08,Subsidiary,https://masdar.ae/en/news/newsroom/financial-close-reached-to-build-the-first-utility-scale-wind-farm-in-jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,BP plc,Lightsource,Lightsource,1,Acquisition,https://www.bp.com/en/global/corporate/news-and-insights/press-releases/bp-agrees-to-take-full-ownership-of-lightsource-bp.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,BP plc,Archea,Archea,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,BP plc,Orisol,Orisol,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,BP plc,Hydrogen Energy International,Hydrogen Energy International,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,BP plc,Open Energi,Open Energi,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,BP plc,Blueprint,Blueprint,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,BP plc,Deep Wind,Deep Wind,"0,55",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Compania Espanola de Petroleos SA (Cepsa),Suresa Retama,Suresa Retama,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Delek Group Ltd,Eshkol,Eshkol,"0,84",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Eni SpA,Evolvere,Evolvere,"0,7",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Eni SpA,Azora,Azora,1,Acquisition,Refinitiv; https://www.eni.com/en-IT/media/press-release/2021/07/cs-egl-rinnovabili-spagna.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Eni SpA,BE Power,BE Power,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Eni SpA,Eolicas Riojanas,Eolicas Riojanas,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Eni SpA,Hergo,Hergo,"0,65",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Eni SpA,4Energia Srl,4Energia,1,Acquisition,Refinitiv; https://www.linkedin.com/company/4energia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Eni SpA,PLT Energia SRL,PLT Energia,1,Acquisition,https://www.eni.com/en-IT/media/press-release/2022/12/plenitude-strengthens-its-presence-italy-and-spain-signing-agreement-acquire-100plt.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Eni SpA,Dhamma Energy Group,Dhamma,1,Acquisition,https://www.eni.com/en-IT/media/press-release/2021/07/eni-acquires-solar-plants-spain-france-taking-over-dhamma-energy-group.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Eni SpA,EnerOcean,EnerOcean,1,Acquisition,https://www.eni.com/content/dam/enicom/documents/press-release/migrated/2022-en/04/plenitude_wind.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Equinor ASA,Wento,Wento,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Equinor ASA,Chujin,Chujin,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Equinor ASA,Polenergia Baltyk,Polenergia Baltyk,"0,5",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Equinor ASA,Polenergia Baltyk,Polenergia Baltyk,"0,5",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Equinor ASA,Scatec,Scatec,"0,16",Acquisition,Refinitiv; https://www.equinor.com/news/20230316-increases-ownership-scatec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Equinor ASA,Rio Energy,Rio Energy,1,Acquisition,Refinitiv; https://www.equinor.com/news/20230721-acquires-rio-energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Galp Energia SGPS SA,Goldenalco,Goldenalco,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galp Energia SGPS SA,ACS Spanish Assets,Galp ACS,1,Acquisition,https://www.galp.com/corp/en/media/press-releases/press-release/id/1151/galp-completes-transaction-with-acs-becomes-iberias-leading-solar-player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,INPEX Corporation,Supreme,Supreme,"0,33",Acquisition,Refinitiv; https://www.supreme-energy.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,ITOCHU Corporation,Yallourn,Yallourn,"0,1",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,ITOCHU Corporation,Butendiek,Butendiek,"0,11",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,ITOCHU Corporation,JEN Holdings,JEN Holdings,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,ITOCHU Corporation,Greenvision,Greenvision,"0,43",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,ITOCHU Corporation,Green Country,Green Country,"0,1",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,ITOCHU Corporation,Tyr,Tyr,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,ITOCHU Corporation,Solar Depot,Solar Depot,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,ITOCHU Corporation,NAES,NAES,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,ITOCHU Corporation,Winch,Winch,"0,2",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,ITOCHU Corporation,Bay4,Bay4,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,ITOCHU Corporation,Takasaki,Takasaki,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Kuwait Petroleum Corporation (KPC),Occidental Geothermal,Occidental Geothermal,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Mitsubishi Corporation,Tennet,Tennet,"0,49",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Mitsubishi Corporation,OVO Energy,OVO Energy,"0,2",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Mitsubishi Corporation,Acciona Termosolar,Acciona Termosolar,"0,15",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Mitsubishi Corporation,Solar Holding,Solar Holding,"0,5",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Mitsubishi Corporation,Cochrane,Cochrane,"0,4",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Mitsubishi Corporation,Eventus,Eventus,"0,5",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Mitsubishi Corporation,Solargruen,Solargruen,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Mitsubishi Corporation,Eneco,Eneco,"0,8",Acquisition,Refinitiv; https://www.mitsubishicorp.com/jp/en/pr/archive/2020/html/0000039554.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Mitsubishi Corporation,Star Energy Geothermal,Star Energy Geothermal,0.2,Acquisition,https://www.mitsubishicorp.com/jp/en/pr/archive/2012/html/0000017168.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Mitsubishi Corporation,Impact Energy Asia Development Limited (IEAD),Impact Energy Asia,0.24,Acquisition,https://www.mitsubishicorp.com/jp/en/pr/archive/2021/html/0000047264.html; https://monsoonwindasia.com/stakeholders#stakeholders_structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Mitsui & Co Ltd,C2C,C2C,"0,3",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Mitsui & Co Ltd,Rugeley,Rugeley,"0,2",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Mitsui & Co Ltd,Erdos,Erdos,"0,25",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Mitsui & Co Ltd,Ecogen Brasil,Ecogen Brasil,"0,5",Acquisition,Refinitiv; https://internationalpress.jp/2012/11/17/mitsui-y-enac-compran-la-brasilena-ecogen-proveedora-de-servicios-energeticos/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Mitsui & Co Ltd,EBES,EBES,"0,17",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Mitsui & Co Ltd,Eoliatec,Eoliatec,"0,5",Acquisition,Refinitiv; https://www.edf-re.com/press-release/mitsui-and-edf-renewables-announce-participation-in-wind-power-generation-project-in-mexico/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Mitsui & Co Ltd,Koyo,Koyo,"0,2",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Mitsui & Co Ltd,Terregra,Terregra,"0,15",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Mitsui & Co Ltd,Storegga,Storegga,"0,15",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Mitsui & Co Ltd,Solstice,Solstice,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Mitsui & Co Ltd,Mainstream,Mainstream(Aker Offshore Wind),"0,28",Acquisition,Refinitiv; https://www.mitsui.com/jp/en/release/2022/1243172_13406.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Occidental Petroleum Corporation,Elk Hills,Elk Hills,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,OMV AG,Eavor,Eavor,"0,07",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,OMV AG,Borasco,Borasco,"0,6",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,OQ SAOC,Orient Power,Orient Power,"0,49",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Origin Energy Ltd,Octopus,Octopus,"0,2",Acquisition,https://www.originenergy.com.au/about/investors-media/origin-lifts-investment-in-fast-growing-octopus-energy/,,,https://www.originenergy.com.au/about/investors-media/origin-lifts-investment-in-fast-growing-octopus-energy/,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Origin Energy Ltd,Sun Retail,Sun Retail,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Origin Energy Ltd,Uranquinty,Uranquinty,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Origin Energy Ltd,Eraring,Eraring,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Origin Energy Ltd,WINconnect,WINconnect,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Origin Energy Ltd,Energia Andina,Energia Andina,"0,4",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Origin Energy Ltd,Allegro,Allegro,"0,05",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Origin Energy Ltd,Energia Austral,Energia Austral,"0,51",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Origin Energy Ltd,Walcha,Walcha,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Origin Energy Ltd,Simply Blue,Simply Blue,0.05,Acquisition,https://www.irishtimes.com/business/energy-and-resources/octopus-renewables-takes-24-stake-in-simply-blue-in-15m-deal-1.4642820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Osaka Gas Co Ltd (Daigas Group),Hizen,Hizen,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Osaka Gas Co Ltd (Daigas Group),Fort Point,Fort Point,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Osaka Gas Co Ltd (Daigas Group),CPV Shore,CPV Shore,"0,2",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Pampa Energia SA,Vientos de Arauco,Vientos de Arauco,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Pampa Energia SA,Empresa Distribuidora Electrica Regional (EDERSA),Empresa Distribuidora Electrica Regional (EDERSA),"0,77",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Pampa Energia SA,Aeseba,Aeseba,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Pampa Energia SA,Nihuiles,Nihuiles,"0,65",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Pampa Energia SA,Greenwind,Greenwind,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Pampa Energia SA,Albares,Albares,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Pampa Energia SA,Diamante,Diamante,"0,56",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,PAO NOVATEK,Novaenergo,Novaenergo,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Petroleo Brasileiro SA – Petrobras,Brentech,Brentech,"0,3",Acquisition,https://brazilenergyinsight.com/2024/05/30/petrobras-informs-about-assignment-of-minority-stake-in-brentech-energia-s-a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Petroliam Nasional Bhd (Petronas),Sabah,Sabah,"0,2",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Petroliam Nasional Bhd (Petronas),Amplus,Amplus,1,Acquisition,Refinitiv; https://www.petronas.com/mplus/about-us/who-we-are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Petroliam Nasional Bhd (Petronas),Wirsol Energy,Wirsol,1,Acquisition,https://www.petronas.com/integrated-report-2023/assets/pdf/PETRONAS%20Integrated%20Report%202023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Petroliam Nasional Bhd (Petronas),Gentari,Gentari,1,Acquisition,https://www.gentari.com/about/overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,PJSC Gazprom,Mosenergo,Mosenergo,"0,54",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,PJSC Gazprom,A2A Beta,A2A Beta,"0,5",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,PJSC Gazprom,Soliushn,Soliushn,"0,16",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,PJSC Gazprom,JSC VetroOGK-2,VetroOGK-2,"0,5",Acquisition,https://www.rechargenews.com/wind/gazproms-bank-finances-huge-wind-portfolio-of-nuclear-giant-rosatom/2-1-974006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,PJSC LUKOIL,South Generation,South Generation,"0,82",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,PJSC LUKOIL,Volgogradenergosbyt,Volgogradenergosbyt,"0,3",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,PJSC LUKOIL,EL5-Energo,EL5-Energo,"0,64",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,PJSC Tatneft,Setevaia,Setevaia,"0,1",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Reliance Industries Ltd,Mskvy,Mskvy,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Reliance Industries Ltd,REC Solar,REC Solar,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Reliance Industries Ltd,BSES,BSES,"0,51",Acquisition,Refinitiv; https://www.bsesdelhi.com/web/brpl/about-bses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Reliance Industries Ltd,Salgoacar,Salgoacar,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Repsol SA,ConnectGen,ConnectGen,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Repsol SA,Asterion,Asterion,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Repsol SA,SeaEnergy,SeaEnergy,"0,8",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Repsol SA,Wattiocorp,Wattiocorp,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
